cust;Recency;first_in_windows;Freq_2Y;Freq_1Y;Freq_3M;IPT_mean;CREDIT_PAY;TIPO_TARJETA;CUS_FIRST_BUY;CANTIDAD_COMPRAS_ITEMS_USADOS;cant_dias_active_short;recency_date_short;Frequency_target
98183574;88.0;88.0;1;1;1.0;9999999.0;1.0;1.0;4740.0;1;0.0;9999999.0;4.0
185011155;17.0;309.0;5;5;1.0;1.6769732417078154;0.0;0.0;1553.0;0;10.0;3.0;0.0
83136773;51.0;619.0;7;4;2.0;1.544597177091263;0.0;0.0;4909.0;0;2.0;12.0;8.0
73194021;329.0;628.0;2;1;0.0;9999999.0;2.0;2.0;5524.0;0;0.0;9999999.0;1.0
157269976;67.0;67.0;1;1;1.0;9999999.0;1.0;2.0;1461.0;0;0.0;9999999.0;0.0
233850079;108.0;108.0;1;1;0.0;9999999.0;3.0;3.0;108.0;0;0.0;9999999.0;6.0
21914622;115.0;117.0;2;2;0.0;0.3010299956639812;0.0;0.0;5963.0;0;8.0;0.0;0.0
379526874;133.0;133.0;1;1;0.0;9999999.0;1.0;2.0;133.0;0;0.0;9999999.0;0.0
323594309;101.0;101.0;1;1;0.0;9999999.0;0.0;0.0;101.0;0;26.0;0.0;1.0
208070572;122.0;667.0;2;1;0.0;9999999.0;0.0;0.0;667.0;0;0.0;9999999.0;2.0
33589067;68.0;432.0;5;4;1.0;1.503729311105741;3.0;3.0;2988.0;0;0.0;9999999.0;4.0
136332365;54.0;156.0;2;2;1.0;2.0086001717619175;3.0;3.0;156.0;0;1.0;1.0;2.0
77810558;86.0;390.0;3;2;1.0;2.436162647040756;0.0;0.0;967.0;0;0.0;9999999.0;1.0
25385093;8.0;89.0;3;3;3.0;1.3832064235561998;6.0;2.0;2881.0;0;6.0;0.0;0.0
382517836;260.0;260.0;1;1;0.0;9999999.0;0.0;0.0;280.0;0;0.0;9999999.0;1.0
8781270;85.0;322.0;3;3;1.0;1.6560886782198894;10.0;0.0;3051.0;0;1.0;17.0;0.0
392096994;245.0;246.0;2;2;0.0;0.0;0.0;0.0;246.0;0;0.0;9999999.0;0.0
55013556;48.0;532.0;5;2;1.0;2.3384564936046046;2.0;2.0;4107.0;1;7.0;3.0;8.0
408908967;195.0;195.0;1;1;0.0;9999999.0;0.0;0.0;195.0;0;0.0;9999999.0;0.0
56149912;219.0;219.0;1;1;0.0;9999999.0;5.0;2.0;219.0;0;1.0;5.0;0.0
195510121;214.0;636.0;4;1;0.0;9999999.0;0.0;0.0;636.0;0;0.0;9999999.0;0.0
361659309;333.0;333.0;1;1;0.0;9999999.0;0.0;0.0;333.0;0;0.0;9999999.0;0.0
255817279;0.0;521.0;7;3;3.0;1.127636252551653;0.0;0.0;521.0;0;15.0;0.0;3.0
194390397;210.0;570.0;2;1;0.0;9999999.0;0.0;0.0;961.0;0;0.0;9999999.0;3.0
419433198;6.0;115.0;3;3;2.0;1.736231948303495;0.0;0.0;115.0;0;7.0;5.0;4.0
419072156;166.0;166.0;1;1;0.0;9999999.0;1.0;2.0;166.0;0;0.0;9999999.0;0.0
380927426;286.0;286.0;1;1;0.0;9999999.0;3.0;2.0;286.0;0;0.0;9999999.0;2.0
321492769;53.0;453.0;2;1;1.0;9999999.0;0.0;0.0;453.0;0;0.0;9999999.0;0.0
240340550;150.0;150.0;1;1;0.0;9999999.0;1.0;0.0;150.0;0;0.0;9999999.0;5.0
320986512;32.0;32.0;1;1;1.0;9999999.0;0.0;0.0;32.0;0;1.0;3.0;0.0
2648931;66.0;348.0;3;3;2.0;1.814500809643496;0.0;0.0;2469.0;0;0.0;9999999.0;6.0
146864604;291.0;291.0;1;1;0.0;9999999.0;0.0;0.0;291.0;0;0.0;9999999.0;1.0
337450105;305.0;417.0;4;3;0.0;1.016711877743475;4.0;4.0;417.0;0;2.0;2.0;4.0
423261507;103.0;103.0;1;1;0.0;9999999.0;0.0;0.0;103.0;0;0.0;9999999.0;1.0
13688489;6.0;6.0;1;1;1.0;9999999.0;2.0;2.0;2825.0;0;2.0;5.0;0.0
269085;51.0;484.0;5;4;2.0;1.6570919495793683;4.0;1.0;7002.0;1;5.0;0.0;3.0
315790242;14.0;96.0;4;4;3.0;1.2821123707099351;0.0;0.0;96.0;0;4.0;5.0;2.0
65866807;103.0;103.0;1;1;0.0;9999999.0;3.0;2.0;3844.0;0;0.0;9999999.0;4.0
202764741;361.0;401.0;2;1;0.0;9999999.0;3.0;3.0;401.0;0;0.0;9999999.0;4.0
85852702;129.0;703.0;2;1;0.0;9999999.0;0.0;0.0;4608.0;0;0.0;9999999.0;5.0
169936669;234.0;234.0;1;1;0.0;9999999.0;0.0;0.0;1769.0;1;0.0;9999999.0;0.0
76688731;361.0;361.0;1;1;0.0;9999999.0;0.0;0.0;4644.0;0;0.0;9999999.0;0.0
217293903;274.0;274.0;1;1;0.0;9999999.0;1.0;2.0;777.0;0;1.0;26.0;0.0
255725577;12.0;222.0;11;11;9.0;0.9528550081211206;14.0;1.0;222.0;0;9.0;8.0;8.0
261158061;243.0;500.0;5;1;0.0;9999999.0;0.0;0.0;800.0;0;1.0;22.0;2.0
90665668;32.0;149.0;3;3;1.0;1.4117371145851507;0.0;0.0;3609.0;0;3.0;13.0;0.0
314702774;95.0;95.0;1;1;0.0;9999999.0;0.0;0.0;95.0;0;2.0;0.0;0.0
359210862;24.0;311.0;8;8;3.0;1.4193492760765956;8.0;2.0;311.0;0;12.0;3.0;10.0
130458171;86.0;460.0;2;1;1.0;9999999.0;0.0;0.0;2354.0;1;0.0;9999999.0;1.0
169416797;51.0;707.0;8;3;2.0;1.7497748129525745;0.0;0.0;1780.0;0;0.0;9999999.0;3.0
144999965;6.0;671.0;10;3;3.0;0.8010299956639813;3.0;3.0;2197.0;3;14.0;0.0;3.0
193232467;5.0;714.0;45;25;5.0;0.8564685225109893;27.0;2.0;1443.0;2;15.0;1.0;5.0
444708566;60.0;60.0;1;1;1.0;9999999.0;0.0;0.0;60.0;0;6.0;17.0;1.0
216860585;152.0;198.0;2;2;0.0;1.662757831681574;3.0;2.0;1183.0;0;2.0;22.0;1.0
71040996;181.0;297.0;5;5;0.0;1.1375448539271247;0.0;0.0;2822.0;0;0.0;9999999.0;0.0
82726786;20.0;591.0;11;10;2.0;1.4154039675796104;11.0;3.0;2857.0;2;10.0;6.0;14.0
214187875;97.0;359.0;3;3;0.0;1.8424226808222062;28.0;2.0;359.0;0;1.0;7.0;0.0
140612208;98.0;683.0;10;5;0.0;1.4089048606597845;0.0;0.0;2270.0;0;0.0;9999999.0;6.0
48927203;278.0;689.0;3;1;0.0;9999999.0;2.0;1.0;4147.0;0;0.0;9999999.0;9.0
328922609;67.0;377.0;4;2;1.0;2.296665190261531;5.0;1.0;377.0;0;3.0;13.0;4.0
270071637;82.0;723.0;13;2;1.0;2.255272505103306;0.0;0.0;723.0;3;7.0;7.0;0.0
319111370;242.0;242.0;1;1;0.0;9999999.0;0.0;0.0;242.0;1;0.0;9999999.0;6.0
19633061;184.0;184.0;1;1;0.0;9999999.0;1.0;2.0;4464.0;0;1.0;7.0;1.0
55977213;110.0;393.0;2;1;0.0;9999999.0;1.0;2.0;393.0;0;4.0;17.0;5.0
315863405;228.0;228.0;1;1;0.0;9999999.0;0.0;0.0;473.0;0;3.0;25.0;0.0
293698010;21.0;21.0;1;1;1.0;9999999.0;0.0;0.0;21.0;0;2.0;19.0;0.0
433579027;54.0;100.0;5;5;3.0;1.0250926362793908;6.0;3.0;100.0;0;0.0;9999999.0;5.0
303691179;19.0;26.0;2;2;2.0;0.8450980400142568;0.0;0.0;26.0;0;3.0;17.0;0.0
207274314;26.0;566.0;13;1;1.0;9999999.0;2.0;3.0;1245.0;0;5.0;11.0;0.0
293345269;55.0;95.0;2;2;1.0;1.6020599913279625;0.0;0.0;95.0;0;6.0;5.0;1.0
458413289;33.0;33.0;1;1;1.0;9999999.0;0.0;0.0;33.0;0;1.0;15.0;0.0
377246900;299.0;299.0;1;1;0.0;9999999.0;0.0;0.0;299.0;0;0.0;9999999.0;0.0
173727028;19.0;101.0;3;3;2.0;0.9542425094393249;11.0;2.0;1164.0;0;5.0;1.0;17.0
458247687;9.0;9.0;1;1;1.0;9999999.0;0.0;0.0;9.0;0;7.0;3.0;8.0
150570952;111.0;111.0;1;1;0.0;9999999.0;0.0;0.0;1600.0;0;0.0;9999999.0;0.0
293479074;23.0;613.0;2;1;1.0;9999999.0;1.0;2.0;613.0;0;0.0;9999999.0;0.0
225779713;123.0;298.0;7;7;0.0;0.8521008335890957;12.0;3.0;1114.0;0;1.0;29.0;4.0
19557642;136.0;627.0;4;3;0.0;1.641650614351775;4.0;3.0;4469.0;0;0.0;9999999.0;2.0
386160226;269.0;269.0;1;1;0.0;9999999.0;0.0;0.0;269.0;0;0.0;9999999.0;1.0
348309708;187.0;187.0;1;1;0.0;9999999.0;1.0;2.0;187.0;1;2.0;27.0;0.0
74254389;65.0;720.0;28;6;2.0;1.444374822334707;0.0;0.0;3790.0;0;17.0;0.0;20.0
